@RELATION WAWeka
@ATTRIBUTE Ambient numeric
@ATTRIBUTE Wearable numeric
@ATTRIBUTE class {Exercise,Sweep,Walk,Meal,WashDishes,PlayPad,WatchTV,Read,Sleep,Other}
@DATA
0,0,WatchTV
0,1,WatchTV
0,1,WatchTV
0,1,WatchTV
0,1,WatchTV
0,1,WatchTV
0,1,WatchTV
0,1,WatchTV
0,1,WatchTV
0,1,WatchTV
0,1,WatchTV
0,1,WatchTV
0,1,WatchTV
0,1,WatchTV
0,1,WatchTV
0,1,WatchTV
0,1,WatchTV
0,1,WatchTV
0,1,WatchTV
0,1,WatchTV
0,1,WatchTV
0,1,WatchTV
0,1,WatchTV
0,1,WatchTV
0,1,WatchTV
0,1,WatchTV
0,1,WatchTV
0,1,WatchTV
0,1,WatchTV
0,1,WatchTV
0,1,WatchTV
0,1,WatchTV
0,1,WatchTV
0,0,WatchTV
1,0,WatchTV
1,0,PlayPad
1,0,PlayPad
1,0,PlayPad
1,0,PlayPad
1,0,PlayPad
1,0,PlayPad
1,0,PlayPad
1,0,PlayPad
1,0,PlayPad
1,0,PlayPad
1,0,PlayPad
1,0,PlayPad
1,0,PlayPad
1,0,PlayPad
1,0,PlayPad
1,0,PlayPad
1,0,PlayPad
1,2,PlayPad
1,2,PlayPad
1,0,PlayPad
1,0,PlayPad
1,3,PlayPad
2,3,PlayPad
2,3,Other
2,3,Walk
2,4,Walk
2,4,Walk
2,4,Walk
2,4,Walk
2,4,Walk
2,4,Walk
2,4,Walk
2,4,Walk
2,4,Walk
2,4,Walk
2,4,Walk
2,4,Walk
2,4,Walk
2,4,Walk
2,4,Walk
2,4,Walk
2,4,Walk
2,4,Walk
2,4,Walk
2,4,Walk
2,4,Walk
2,4,Walk
2,4,Walk
2,4,Walk
2,4,Walk
2,4,Walk
2,4,Walk
2,4,Walk
3,3,Other
3,3,Read
3,3,Read
3,0,Read
3,0,Read
3,0,Read
3,0,Read
3,0,Read
3,0,Read
3,0,Read
3,0,Read
