Exercise,0,0,0,0,0,0,151,19,87,67,13,235,25,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweep,0,28,1,1,0,0,0,0,0,0,0,0,0,0,5,19,0,98,0,0,1,1,0,0,0,3,0,0,13,0,0,0,0,0,117,1,0,0,0,0,0,0,33,0,0,0,14,0,0,1,6,0,0,1,0,0
Walk,0,17,0,1,0,0,0,0,0,0,0,0,0,0,63,143,0,2,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,74,0,0,0,1,0,0,0,0,0,0,1,0,0
Meal,184,0,78,2,0,0,0,0,0,0,0,0,0,0,0,0,44,0,4,0,0,0,0,10,0,2,0,0,0,2,2,0,0,2,0,0,202,0,0,0,98,2,0,0,58,0,2,4,16,132,20,6,2,124,170,0
WashDishes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,18,56,44,74,4,8,24,2,8,4,8,44,14,8,10,2,2,10,116,6,78,18,82,4,8,0,6,0,10,82,32,0,0,0,6,54,14,0,4
PlayPad,541,0,103,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,33,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,8,5,0
WatchTV,129,0,229,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Read,26,0,843,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,45,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5,0,0
Sleep,0,0,0,31,0,1452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
