Activity,livingroom_luminance
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,94.5
 PlayingKinect,94.5
 PlayingKinect,94.5
 PlayingKinect,94.5
 PlayingKinect,94.5
 PlayingKinect,94.5
 PlayingKinect,94.5
 PlayingKinect,94.5
 PlayingKinect,100.8
 PlayingKinect,88.2
 PlayingKinect,90.3
 PlayingKinect,90.3
 PlayingKinect,94.5
 PlayingKinect,94.5
 PlayingKinect,94.5
 PlayingKinect,94.5
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,98.7
 PlayingKinect,86.1
 PlayingKinect,88.2
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,94.5
 PlayingKinect,94.5
 PlayingKinect,94.5
 PlayingKinect,94.5
 PlayingKinect,94.5
 PlayingKinect,94.5
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,94.5
 PlayingKinect,94.5
 PlayingKinect,94.5
 PlayingKinect,94.5
 PlayingKinect,94.5
 PlayingKinect,94.5
 PlayingKinect,94.5
 PlayingKinect,94.5
 PlayingKinect,94.5
 PlayingKinect,94.5
 PlayingKinect,94.5
 PlayingKinect,94.5
 PlayingKinect,100.8
 PlayingKinect,86.1
 PlayingKinect,86.1
 PlayingKinect,86.1
 PlayingKinect,92.4
 PlayingKinect,100.8
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,96.6
 PlayingKinect,86.1
 PlayingKinect,88.2
 PlayingKinect,90.3
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,105
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,77.7
 PlayingKinect,77.7
 PlayingKinect,90.3
 PlayingKinect,90.3
 PlayingKinect,90.3
 PlayingKinect,90.3
 PlayingKinect,90.3
 PlayingKinect,90.3
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,98.7
 PlayingKinect,98.7
 PlayingKinect,98.7
 PlayingKinect,98.7
 PlayingKinect,98.7
 PlayingKinect,98.7
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,94.5
 PlayingKinect,94.5
 PlayingKinect,94.5
 PlayingKinect,94.5
 PlayingKinect,94.5
 PlayingKinect,94.5
 PlayingKinect,94.5
 PlayingKinect,94.5
 PlayingKinect,94.5
 PlayingKinect,94.5
 PlayingKinect,94.5
 PlayingKinect,94.5
 PlayingKinect,94.5
 PlayingKinect,94.5
