Activity,livingroom_tempterature
 PlayingKinect,24.64
 PlayingKinect,24.66
 PlayingKinect,24.65
 PlayingKinect,24.64
 PlayingKinect,24.65
 PlayingKinect,24.65
 PlayingKinect,24.65
 PlayingKinect,24.65
 PlayingKinect,24.65
 PlayingKinect,24.65
 PlayingKinect,24.65
 PlayingKinect,24.65
 PlayingKinect,24.66
 PlayingKinect,24.65
 PlayingKinect,24.64
 PlayingKinect,24.66
 PlayingKinect,24.65
 PlayingKinect,24.65
 PlayingKinect,24.65
 PlayingKinect,24.66
 PlayingKinect,24.66
 PlayingKinect,24.65
 PlayingKinect,24.66
 PlayingKinect,24.65
 PlayingKinect,24.65
 PlayingKinect,24.65
 PlayingKinect,24.65
 PlayingKinect,24.65
 PlayingKinect,24.63
 PlayingKinect,24.65
 PlayingKinect,24.65
 PlayingKinect,24.65
 PlayingKinect,24.64
 PlayingKinect,24.64
 PlayingKinect,24.65
 PlayingKinect,24.65
 PlayingKinect,24.66
 PlayingKinect,24.66
 PlayingKinect,24.65
 PlayingKinect,24.65
 PlayingKinect,24.65
 PlayingKinect,24.66
 PlayingKinect,24.65
 PlayingKinect,24.65
 PlayingKinect,24.65
 PlayingKinect,24.65
 PlayingKinect,24.65
 PlayingKinect,24.65
 PlayingKinect,24.65
 PlayingKinect,24.65
 PlayingKinect,24.65
 PlayingKinect,24.65
 PlayingKinect,24.65
 PlayingKinect,24.65
 PlayingKinect,24.65
 PlayingKinect,24.65
 PlayingKinect,24.64
 PlayingKinect,24.64
 PlayingKinect,24.64
 PlayingKinect,24.64
 PlayingKinect,24.64
 PlayingKinect,24.64
 PlayingKinect,24.64
 PlayingKinect,24.64
 PlayingKinect,24.63
 PlayingKinect,24.63
 PlayingKinect,24.63
 PlayingKinect,24.64
 PlayingKinect,24.64
 PlayingKinect,24.64
 PlayingKinect,24.62
 PlayingKinect,24.63
 PlayingKinect,24.63
 PlayingKinect,24.63
 PlayingKinect,24.63
 PlayingKinect,24.63
 PlayingKinect,24.63
 PlayingKinect,24.63
 PlayingKinect,24.63
 PlayingKinect,24.61
 PlayingKinect,24.62
 PlayingKinect,24.62
 PlayingKinect,24.62
 PlayingKinect,24.63
 PlayingKinect,24.63
 PlayingKinect,24.62
 PlayingKinect,24.61
 PlayingKinect,24.62
 PlayingKinect,24.61
 PlayingKinect,24.61
 PlayingKinect,24.62
 PlayingKinect,24.62
 PlayingKinect,24.62
 PlayingKinect,24.62
 PlayingKinect,24.62
 PlayingKinect,24.62
 PlayingKinect,24.63
 PlayingKinect,24.62
 PlayingKinect,24.62
 PlayingKinect,24.61
 PlayingKinect,24.62
 PlayingKinect,24.62
 PlayingKinect,24.63
 PlayingKinect,24.63
 PlayingKinect,24.62
 PlayingKinect,24.62
 PlayingKinect,24.62
 PlayingKinect,24.62
 PlayingKinect,24.62
 PlayingKinect,24.61
 PlayingKinect,24.62
 PlayingKinect,24.62
 PlayingKinect,24.62
 PlayingKinect,24.61
 PlayingKinect,24.62
 PlayingKinect,24.63
 PlayingKinect,24.62
 PlayingKinect,24.63
 PlayingKinect,24.63
 PlayingKinect,24.62
 PlayingKinect,24.63
 PlayingKinect,24.63
