Activity,livingroom_tempterature,livingroom_humidity,livingroom_luminance,study_tempterature,study_humidity,study_luminance,kitchen_tempterature,kitchen_humidity,kitchen_luminance,hallway_tempterature,hallway_humidity,hallway_luminance,bedroom_tempterature,bedroom_humidity,bedroom_luminance,light_livingroom,light_hallway,light_bedroom,light_kitchen,light_study,switch_door_hallway,audio_livingroom,current_watercoldfan_livingroom,current_lamp_bedroom,current_PC_bedroom,current_TV_livingroom,current_lamp_livingroom,current_xbox_livingroom,current_microwave_kitchen,current_AC_bedroom,current_AC_livingroom,current_lamp_study,current_NB_study,current_nightlamp_bedroom,people_hallway,people_livingroom,people_bedroom,people_kitchen,people_study,Timestamp
 PlayingKinect,24.64,56.48,96.6,26.05,49.14,6.3,27.75,44.71,10.75,26.96,55.26,16,25.24,51.16,9,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-00
 PlayingKinect,24.66,56.48,96.6,26.06,49.14,6.3,27.75,44.78,17.2,26.96,55.26,16,25.24,51.16,9,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-01
 PlayingKinect,24.65,56.48,96.6,26.06,49.07,4.2,27.76,44.71,12.9,26.98,55.44,18,25.25,51.16,13.5,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-02
 PlayingKinect,24.64,56.48,96.6,26.05,49.07,6.3,27.74,44.71,15.05,26.98,55.44,18,25.24,51.16,9,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-03
 PlayingKinect,24.65,56.43,92.4,26.05,49.07,6.3,27.74,44.84,21.5,26.97,55.31,18,25.24,51.16,9,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-04
 PlayingKinect,24.65,56.36,92.4,26.05,49.07,10.5,27.74,44.84,21.5,26.99,55.33,16,25.23,51.03,4.5,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-05
 PlayingKinect,24.65,56.43,92.4,26.06,49.02,6.3,27.74,44.84,21.5,26.98,55.44,14,25.24,51.1,4.5,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-06
 PlayingKinect,24.65,56.43,92.4,26.06,49.07,12.6,27.76,44.78,23.65,26.98,55.69,16,25.24,51.03,13.5,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-07
 PlayingKinect,24.65,56.36,92.4,26.05,49.07,10.5,27.75,44.84,23.65,26.98,55.69,16,25.24,51.03,4.5,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-08
 PlayingKinect,24.65,56.36,92.4,26.05,49.07,4.2,27.75,44.84,10.75,27,56.3,16,25.23,51.03,18,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-09
 PlayingKinect,24.65,56.43,92.4,26.05,49.07,4.2,27.75,44.84,10.75,27,56.54,18,25.24,51.03,36,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-10
