NoActivity, 2015-04-07-07-40-00,25.88,55.64,6.3,25.68,52.77,6.3,28.66,45.95,2.15,27.4,49.5,130618,25.57,52.92,13.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-40-05,25.88,55.64,6.3,25.68,52.77,6.3,28.66,45.95,2.15,27.4,49.5,130618,25.26,51.95,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-40-11,25.88,55.64,6.3,25.68,52.77,6.3,28.66,45.95,2.15,27.4,49.5,130618,25.26,51.95,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-40-16,25.88,55.64,6.3,25.68,52.77,6.3,28.66,45.95,2.15,27.4,49.5,130618,25.26,51.95,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-40-21,25.88,55.64,6.3,25.68,52.77,6.3,28.66,45.95,2.15,27.4,49.5,130618,25.26,51.95,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-40-26,25.88,55.64,6.3,25.68,52.77,6.3,28.66,45.95,2.15,27.4,49.5,130618,25.26,51.95,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-40-31,25.88,55.64,6.3,25.68,52.77,6.3,28.66,45.95,2.15,27.4,49.5,130618,25.26,51.95,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-40-36,25.88,55.64,6.3,25.68,52.77,6.3,28.66,45.95,2.15,27.4,49.5,130618,25.26,51.95,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-40-41,25.88,55.64,6.3,25.68,52.77,6.3,28.66,45.95,2.15,27.4,49.5,130618,25.26,51.95,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-40-47,25.88,55.64,6.3,25.68,52.77,6.3,28.66,45.95,2.15,27.4,49.5,130618,24.95,50.51,9, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-40-52,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,24.95,50.51,9, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-40-57,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,24.95,50.51,9, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-41-02,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,24.95,50.51,9, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-41-07,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,24.95,50.51,9, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-41-12,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,24.95,50.51,9, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-41-17,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,24.95,50.51,9, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-41-22,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,24.95,50.51,9, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-41-34,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,24.95,50.51,9, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-41-38,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,24.95,50.51,9, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-41-43,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,24.95,50.51,9, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-41-48,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,24.95,50.51,9, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-41-53,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,24.23,49.3,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-41-59,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,24.23,49.3,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-42-04,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,24.23,49.3,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-42-09,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,24.23,49.3,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
