NoActivity, 2015-04-07-07-40-00,6.3,6.3,2.15,130618,13.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-40-05,6.3,6.3,2.15,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-40-11,6.3,6.3,2.15,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-40-16,6.3,6.3,2.15,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-40-21,6.3,6.3,2.15,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-40-26,6.3,6.3,2.15,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-40-31,6.3,6.3,2.15,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-40-36,6.3,6.3,2.15,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-40-41,6.3,6.3,2.15,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-40-47,6.3,6.3,2.15,130618,9, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-40-52,6.3,6.3,10.75,130618,9, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-40-57,6.3,6.3,10.75,130618,9, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-41-02,6.3,6.3,10.75,130618,9, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-41-07,6.3,6.3,10.75,130618,9, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-41-12,6.3,6.3,10.75,130618,9, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-41-17,6.3,6.3,10.75,130618,9, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-41-22,6.3,6.3,10.75,130618,9, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-41-34,6.3,6.3,10.75,130618,9, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-41-38,6.3,6.3,10.75,130618,9, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-41-43,6.3,6.3,10.75,130618,9, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-41-48,6.3,6.3,10.75,130618,9, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-41-53,6.3,6.3,10.75,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
