X	Y	Z	Pitch	Roll
-0.002543839	-8.014441	5.637896	54.874863	0.025852066
0.002244564	-8.007258	5.647473	54.874863	0.025852066
0.062099606	-8.038383	5.635502	54.874863	0.025852066
0.021398177	-7.9881043	5.6283193	54.804897	-0.022771962
0.011821371	-8.059931	5.575647	54.804897	-0.022771962
0.040551793	-7.9809217	5.637896	54.804897	-0.022771962
0.026186582	-8.019229	5.6881742	54.965065	-0.63133705
-0.019303251	-8.021624	5.5948005	54.965065	-0.63133705
0.007032968	-8.00247	5.6331077	54.965065	-0.63133705
0.023792379	-7.9928927	5.6546555	54.831753	-0.21783045
-0.002543839	-8.067113	5.5325513	54.831753	-0.21783045
-0.03127426	-8.028806	5.623531	54.831753	-0.21783045
-0.024091655	-8.038383	5.6642323	55.325485	-0.12147714
-0.024091655	-8.012047	5.6450787	55.325485	-0.12147714
-0.03127426	-8.043171	5.623531	55.325485	-0.12147714
-0.007332243	-8.00247	5.6450787	54.761093	-0.41210526
0.009427169	-8.026412	5.563676	54.761093	-0.41210526
0.023792379	-8.114997	5.515792	54.761093	-0.41210526
-0.014514848	-8.014441	5.590012	54.65099	-0.26377007
-1.50E-04	-7.9928927	5.563676	54.65099	-0.26377007
-0.040851068	-8.07669	5.635502	54.65099	-0.26377007
0.035763387	-8.0312	5.5852237	55.105427	0.19768183
0.054917	-8.069508	5.5852237	55.105427	0.19768183
-0.007332243	-8.107815	5.6546555	55.105427	0.19768183
-0.07915829	-7.98571	5.5325513	54.857452	-0.071534075
-0.026485857	-8.062325	5.5948005	54.857452	-0.071534075
0.016609775	-8.052748	5.5469165	54.857452	-0.071534075
0.0525228	-7.98571	5.6546555	54.721863	-0.24107479
0.0525228	-8.112603	5.601983	54.721863	-0.24107479
0.0525228	-8.024017	5.554099	54.721863	-0.24107479
0.040551793	-8.069508	5.613954	55.557064	0.02634431
0.007032968	-8.033594	5.5684643	55.557064	0.02634431
-0.040851068	-7.9928927	5.542128	55.557064	0.02634431
-0.002543839	-7.997681	5.5924063	54.99144	0.31863692
-0.002543839	-8.095843	5.5852237	54.99144	0.31863692
0.019003976	-8.021624	5.5349455	54.99144	0.31863692
0.040551793	-8.033594	5.6402903	54.82938	0.24369442
0.09322423	-7.98571	5.623531	54.82938	0.24369442
0.09561843	-8.083873	5.5612817	54.82938	0.24369442
0.059705406	-8.059931	5.5205803	54.832233	0.24452128
0.007032968	-8.067113	5.494244	54.832233	0.24452128
0.014215573	-8.035989	5.4846673	54.832233	0.24452128
0.09561843	-8.12218	5.587618	55.039555	0.31863692
-0.055216275	-8.349628	5.5014267	55.039555	0.31863692
-0.06000468	-8.074296	5.6331077	55.039555	0.31863692
0.36376902	-8.572289	6.040122	54.800186	0.07441992
0.2033575	-9.618556	6.6626143	54.800186	0.07441992
-0.2515408	-10.233866	7.0169563	54.800186	0.07441992
-0.55321026	-10.798897	8.022521	55.271385	-0.09708267
0.40207624	-8.773402	8.925135	55.271385	-0.09708267
0.5553052	-7.140557	9.030479	55.271385	-0.09708267
0.27518356	-7.691223	9.384822	55.795673	-0.24714391
0.4810849	-7.181258	9.059211	55.795673	-0.24714391
0.97189623	-4.174141	8.20448	55.795673	-0.24714391
1.6207249	-2.9123967	7.7471876	55.104424	0.14877208
2.0804117	-2.9770403	7.3162313	55.104424	0.14877208
2.0301335	-2.309058	7.0432925	55.104424	0.14877208
2.6837504	-1.4567221	6.9140058	55.159073	0.001540996
2.784307	-1.7679683	7.3736925	55.159073	0.001540996
2.997391	-1.9882349	7.716063	55.159073	0.001540996
2.8178258	-0.7743746	7.658602	55.09393	0.4153229
2.7651534	0.8393173	7.912388	55.09393	0.4153229
1.9990088	1.2942157	8.479814	55.09393	0.4153229
1.8026842	1.2559084	9.277082	55.183125	-0.36687216
1.4842554	0.9398738	9.174132	55.183125	-0.36687216
2.0756233	2.2973862	8.987384	55.183125	-0.36687216
2.4108114	1.868824	9.171738	55.310066	-0.56334555
2.571223	2.0890906	9.176526	55.310066	-0.56334555
2.844162	1.9310733	8.934711	55.310066	-0.56334555
2.9806316	1.4737808	9.162161	55.106792	0.07429388
2.6502316	1.3157635	9.2842655	55.106792	0.07429388
2.6622026	1.607856	9.2842655	55.106792	0.07429388
2.5424926	1.749114	9.1094885	55.28279	0.81971705
2.6334722	2.0005052	9.202863	55.28279	0.81971705
2.5161564	1.6102502	9.255535	55.28279	0.81971705
2.8058548	1.4474446	9.298631	55.241222	0.27123693
2.8345852	1.2319664	9.210045	55.241222	0.27123693
2.9088054	1.1122563	9.245958	55.241222	0.27123693
2.8297968	0.99494046	9.198074	55.439922	-0.17156689
3.0141504	0.7674913	9.102306	55.439922	-0.17156689
3.1913211	0.5089175	9.140614	55.439922	-0.17156689
3.1458313	0.24794951	9.4279175	54.696648	-0.5321718
3.1721675	0.070778586	9.293842	54.696648	-0.5321718
2.9255648	-0.22131401	9.392004	54.696648	-0.5321718
3.0141504	-0.39609075	9.406369	55.372643	-0.53717524
3.0309098	-0.4511574	9.430311	55.372643	-0.53717524
2.9566894	-0.4607342	9.451859	55.372643	-0.53717524
3.0189388	-0.39130235	9.363274	55.308422	-0.54180616
3.1386487	-0.5684733	9.413552	55.308422	-0.54180616
2.963872	-0.6690297	9.593118	55.308422	-0.54180616
2.8369794	-0.52777183	9.506926	55.17297	-0.41386268
2.7699418	-0.36017773	9.430311	55.17297	-0.41386268
2.7244518	-0.4655226	9.430311	55.17297	-0.41386268
2.8393736	-0.4727052	9.50932	55.27232	-0.07236451
2.8513446	-0.38411975	9.36088	55.27232	-0.07236451
2.8633156	-0.4798878	9.554811	55.27232	-0.07236451
2.8465562	-0.6666355	9.518897	55.262535	0.42232
2.8728924	-1.0688614	9.712828	55.262535	0.42232
2.9375358	-1.1933599	9.494955	55.262535	0.42232
3.188927	-1.217302	9.461436	55.0367	0.026062349
3.1601965	-1.5070003	9.238775	55.0367	0.026062349
3.200898	-1.4016554	9.243564	55.0367	0.026062349
3.4570775	-1.633893	8.752752	55.398674	0.026095869
3.3732805	-1.9499277	9.188498	55.398674	0.026095869
3.653402	-2.6729765	8.585158	55.398674	0.026095869
3.9622543	-3.094356	8.510938	55.39405	-0.1967216
3.591153	-3.9610572	8.556428	55.39405	-0.1967216
3.8090253	-4.3656774	8.053645	55.39405	-0.1967216
3.0668228	-4.9738045	7.2851067	54.927067	-0.41193032
2.3844752	-5.500529	6.4375596	54.927067	-0.41193032
1.7500118	-6.4701805	6.2148986	54.927067	-0.41193032
1.2113165	-7.640945	5.860557	54.84312	-0.9497352
1.3501801	-9.027188	3.892523	54.84312	-0.9497352
1.1442788	-8.909872	3.7895725	54.84312	-0.9497352
1.6566379	-8.830863	2.5828948	55.470104	-0.98502344
1.8553567	-10.207529	2.8031614	55.470104	-0.98502344
2.4970028	-8.4525795	2.3171384	55.470104	-0.98502344
1.1993455	-9.654469	3.4352305	55.589577	-0.6196331
2.7699418	-10.095002	2.4057238	55.589577	-0.6196331
2.9758432	-10.612149	0.5789479	55.589577	-0.6196331
2.8968344	-9.230695	1.4935329	55.742496	-0.073342055
3.6246717	-8.007258	2.7552772	55.742496	-0.073342055
3.1697733	-8.996063	3.262848	55.742496	-0.073342055
3.0859764	-7.047183	2.6642976	55.68586	-0.14850315
2.856133	-8.632145	2.3674166	55.68586	-0.14850315
3.033304	-8.830863	2.159121	55.68586	-0.14850315
2.690933	-7.997681	1.17271	55.470226	-0.98038155
2.8728924	-9.668834	1.2732664	55.470226	-0.98038155
2.5807998	-8.742278	1.0242695	55.470226	-0.98038155
2.7244518	-10.695947	0.49993923	56.618465	0.57504237
