X	Y	Z	Pitch	Roll
-6.958448	-1.1834838	-0.24316111	9.646651	92.00137
-8.883386	-1.4540286	-0.2240075	9.646651	92.00137
-9.110835	-1.8179473	0.11836334	9.646651	92.00137
-11.191397	-1.3079823	0.37933132	9.292817	91.44449
-15.261539	-1.9831471	0.5397428	9.292817	91.44449
-16.006136	-3.1251814	1.5620669	9.292817	91.44449
-14.500183	-3.2305262	2.3904607	11.283487	89.255684
-12.544121	-2.8402715	3.1805472	11.283487	89.255684
-11.275193	-1.3845968	2.7926867	11.283487	89.255684
-10.578481	-0.16115971	2.1630116	6.662348	88.05871
-9.9272585	-0.7333739	2.6514287	6.662348	88.05871
-9.168296	-1.9017444	2.608333	6.662348	88.05871
-9.422082	-2.6367643	2.0911856	7.399189	87.97451
-11.114782	-2.7014077	1.7416321	7.399189	87.97451
-9.54658	-2.3255181	1.4902409	7.399189	87.97451
-12.627917	-1.2960113	-0.38681322	10.996988	84.426056
-15.122676	-0.97997665	-1.8664298	10.996988	84.426056
-14.382868	-1.2050316	-1.808969	10.996988	84.426056
-13.540109	-1.4444518	-1.2056302	12.397849	80.63858
-12.204144	-1.7772459	-0.7411551	12.397849	80.63858
-11.675025	-2.1890485	-0.7555203	12.397849	80.63858
-10.695797	-2.1004632	-0.7650971	12.378867	75.77254
-9.206603	-1.4396634	-0.7938275	12.378867	75.77254
-7.8036013	-0.7956231	-0.4825813	12.378867	75.77254
-6.6567783	-0.47719434	-0.14499883	6.797495	76.08871
-6.4915786	-0.51789576	-0.06599019	6.797495	76.08871
-7.2984247	-0.73816234	0.09442133	6.797495	76.08871
-8.524256	-1.4444518	-0.13302784	0.8551248	78.44386
-7.542633	-1.3606547	0.3506009	0.8551248	78.44386
-10.360609	-1.1571476	0.12075755	0.8551248	78.44386
-14.354137	-1.9639935	0.26680386	4.0824447	75.04617
-15.539267	-2.8306947	0.94196874	4.0824447	75.04617
-15.204079	-2.6535237	0.7384616	4.0824447	75.04617
-13.72925	-3.0868742	1.7440263	11.282899	74.11922
-11.73488	-2.562544	1.9618987	11.282899	74.11922
-10.597634	-1.3223475	1.4184148	11.282899	74.11922
-9.972748	-1.4205098	1.5836148	15.280402	77.48632
-9.254487	-2.4715643	1.7488147	15.280402	77.48632
-8.813954	-3.3669958	1.9690813	15.280402	77.48632
-9.2904005	-3.465158	1.7033249	13.502041	81.094444
-11.287165	-2.7205613	1.052102	13.502041	81.094444
-9.165902	-1.6575358	-0.013317747	13.502041	81.094444
-10.214562	-1.2313678	-0.8201637	13.532684	81.12762
-11.13633	-1.3438953	-1.9574095	13.532684	81.12762
-13.561656	-3.2472856	-2.5032876	13.532684	81.12762
-13.473071	-3.9607577	-1.583914	5.8570595	91.75452
-14.55525	-3.9176621	-2.4194903	5.8570595	91.75452
-13.288717	-3.9080853	-1.9310733	5.8570595	91.75452
-12.9607115	-4.4180503	-2.4290674	3.6798425	97.03582
