X	Y	Z	Pitch	Roll
-6.415114	-1.7702129	-5.81806	6.0162516	130.47076
-6.5755253	-2.8380268	-5.0207906	6.0162516	130.47076
-7.164499	-3.0918121	-4.261829	6.258895	128.56076
-7.152528	-3.0271688	-4.51322	6.258895	128.56076
-7.583484	-3.3743281	-5.782147	6.258895	128.56076
-7.815722	-3.7214873	-6.723068	5.8784313	125.89183
-7.3727946	-3.632902	-6.8930564	5.8784313	125.89183
-7.181258	-3.716699	-7.5945573	5.8784313	125.89183
-6.692841	-3.992032	-7.956082	5.4091287	123.61898
-7.0639424	-3.9130235	-6.9792476	5.4091287	123.61898
-7.803751	-4.3391914	-6.1628246	5.4091287	123.61898
-7.2985744	-3.731064	-6.3471785	6.477858	122.06889
-5.8021984	-3.6065655	-7.352743	6.477858	122.06889
-4.32737	-3.7621887	-7.0271316	6.477858	122.06889
-3.7264254	-3.4365773	-6.3830914	7.408982	121.70107
-3.1685762	-3.3240497	-6.0407205	7.408982	121.70107
-3.0895677	-3.431789	-6.4692826	7.408982	121.70107
-3.7479732	-3.647267	-7.1348705	8.260611	122.22684
-4.5955205	-3.8795047	-7.2019086	8.260611	122.22684
-5.3640594	-3.589806	-7.1588125	8.260611	122.22684
-6.087108	-4.111742	-7.2976766	7.7586055	121.861626
-6.5420065	-4.355951	-7.7142677	7.7586055	121.861626
-6.474969	-4.250606	-7.1252937	7.7586055	121.861626
-7.080702	-2.816479	-6.579416	6.0690975	126.23837
-7.8085394	-3.0343513	-6.2609873	6.0690975	126.23837
-8.636933	-2.306514	-5.171625	6.0690975	126.23837
-9.15408	-1.913865	-4.728698	7.949273	124.32827
-10.485257	-1.8468274	-4.3145013	7.949273	124.32827
-12.364705	-2.9433718	-5.181202	7.949273	124.32827
-12.2426	-5.1292777	-7.836372	6.7211657	125.8518
-9.448567	-3.7621887	-7.058256	6.7211657	125.8518
-7.363218	-2.1125836	-5.7510223	6.7211657	125.8518
-6.762273	-1.5571289	-8.468441	6.0022507	124.622536
-6.012888	-2.7039516	-9.610476	6.0022507	124.622536
-5.0312653	-1.248277	-10.06298	6.0022507	124.622536
-4.4039845	-2.1101894	-8.636035	1.9901853	124.50796
-4.028095	-3.017592	-7.529914	1.9901853	124.50796
-3.9227498	-3.2019455	-7.3431664	1.9901853	124.50796
-3.6976948	-3.0630817	-6.9313636	2.093811	123.76276
-3.5660138	-2.2682068	-7.0175548	2.093811	123.76276
-3.094356	-2.8883052	-7.142053	2.093811	123.76276
-3.59235	-3.838803	-6.3735147	3.840524	124.671104
-4.032883	-4.782119	-5.729474	3.840524	124.671104
-4.966622	-5.098153	-6.189161	3.840524	124.671104
-5.565172	-5.378275	-7.4437227	6.9142327	125.32823
-5.965004	-6.106112	-7.6328645	6.9142327	125.32823
-6.1876645	-5.5530515	-7.1348705	6.9142327	125.32823
-7.779809	-2.8452094	-6.852355	6.611092	126.39142
